,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,3,,2,1
1,2,,2,0
2,0,,0,0
3,0,,0,0
4,,0,0,0
5,,0,0,0
6,2,,2,0
7,,0,0,0
8,0,,0,0
9,,1,1,0
10,1,,1,0
11,1,,1,0
12,,0,0,0
13,1,,1,0
14,,0,0,0
15,1,,1,0
16,2,,2,0
17,0,,0,0
18,,0,0,0
19,,0,0,0
20,,0,0,0
21,,0,0,0
22,0,,0,0
23,0,,0,0
24,,0,0,0
25,0,,0,0
26,,0,0,0
27,2,,1,1
28,,0,0,0
29,0,,0,0
30,0,,0,0
31,0,,0,0
32,,0,0,0
33,1,,1,0
34,,0,0,0
35,,1,1,0
36,,2,2,0
37,4,,4,0
38,,0,0,0
39,,0,0,0
40,0,,0,0
41,2,,2,0
42,2,,2,0
43,,0,0,0
44,1,,0,1
45,2,,1,1
46,0,,0,0
47,1,,0,1
48,,1,1,0
49,,0,0,0
50,,1,0,1
51,,1,1,0
52,,0,0,0
53,0,,0,0
54,0,,0,0
55,,0,0,0
56,3,,2,1
57,0,,0,0
58,0,,0,0
59,0,,0,0
60,0,,0,0
61,0,,0,0
62,0,,0,0
63,1,,0,1
64,,2,2,0
65,,0,0,0
66,1,,1,0
67,1,,1,0
68,,0,0,0
69,0,,0,0
70,1,,1,0
71,1,,1,0
72,,0,0,0
73,1,,1,0
74,,1,1,0
75,,0,0,0
76,2,,2,0
77,2,,0,2
78,0,,0,0
79,,0,0,0
80,2,,2,0
81,,0,0,0
82,,0,0,0
83,,0,0,0
84,0,,0,0
85,2,,1,1
86,0,,0,0
87,1,,0,1
88,0,,0,0
89,3,,1,2
90,0,,0,0
91,,0,0,0
92,,1,1,0
93,,0,0,0
94,0,,0,0
95,0,,0,0
96,0,,0,0
97,2,,1,1
98,,0,0,0
99,3,,2,1
100,,0,0,0
101,0,,0,0
102,1,,1,0
103,4,,2,2
104,0,,0,0
105,2,,2,0
106,0,,0,0
107,,1,1,0
108,,2,1,1
109,0,,0,0
110,0,,0,0
111,0,,0,0
112,3,,2,1
113,2,,2,0
114,1,,1,0
115,2,,1,1
116,2,,2,0
117,,0,0,0
118,0,,0,0
119,0,,0,0
120,0,,0,0
121,,0,0,0
122,,0,0,0
123,1,,1,0
124,,0,0,0
125,1,,1,0
126,4,,2,2
127,,1,0,1
128,0,,0,0
129,3,,0,3
130,0,,0,0
131,3,,3,0
132,0,,0,0
133,,1,1,0
134,0,,0,0
135,0,,0,0
136,1,,1,0
137,3,,1,2
138,,0,0,0
139,2,,2,0
140,2,,2,0
141,1,,1,0
142,,0,0,0
143,,1,1,0
144,4,,3,1
145,,0,0,0
146,0,,0,0
147,1,,1,0
148,,1,1,0
149,,0,0,0
150,0,,0,0
151,,1,1,0
152,,0,0,0
153,2,,2,0
154,1,,1,0
155,1,,1,0
156,,0,0,0
157,2,,1,1
158,2,,1,1
159,,1,1,0
160,0,,0,0
161,1,,1,0
162,,1,1,0
163,3,,3,0
164,0,,0,0
165,0,,0,0
166,,0,0,0
167,1,,0,1
168,0,,0,0
169,2,,2,0
170,1,,0,1
171,0,,0,0
172,,1,1,0
173,0,,0,0
174,0,,0,0
175,0,,0,0
176,2,,2,0
177,0,,0,0
178,2,,2,0
179,0,,0,0
180,0,,0,0
181,0,,0,0
182,,0,0,0
183,2,,2,0
184,0,,0,0
185,2,,1,1
186,,0,0,0
187,,0,0,0
188,2,,2,0
189,0,,0,0
190,,0,0,0
191,2,,2,0
192,3,,2,1
193,2,,1,1
194,0,,0,0
195,1,,1,0
196,2,,1,1
197,0,,0,0
198,1,,1,0
199,,0,0,0
200,0,,0,0
201,,0,0,0
202,,3,2,1
203,2,,1,1
204,0,,0,0
205,0,,0,0
206,0,,0,0
207,2,,1,1
208,,0,0,0
209,,0,0,0
210,2,,1,1
211,,0,0,0
212,,0,0,0
213,0,,0,0
214,1,,0,1
215,,0,0,0
216,0,,0,0
217,,1,1,0
218,,0,0,0
219,0,,0,0
220,0,,0,0
221,0,,0,0
222,,0,0,0
223,,0,0,0
224,2,,2,0
225,0,,0,0
226,,0,0,0
227,1,,0,1
228,0,,0,0
229,0,,0,0
230,0,,0,0
231,1,,1,0
232,0,,0,0
233,0,,0,0
234,2,,1,1
235,3,,3,0
236,4,,3,1
237,0,,0,0
238,1,,1,0
239,1,,1,0
240,0,,0,0
241,1,,1,0
242,0,,0,0
243,,0,0,0
244,,1,1,0
245,0,,0,0
246,2,,1,1
247,,0,0,0
248,0,,0,0
249,,0,0,0
250,2,,2,0
251,1,,1,0
252,,0,0,0
253,0,,0,0
254,1,,1,0
255,0,,0,0
256,,1,1,0
257,1,,1,0
258,0,,0,0
259,1,,1,0
260,,0,0,0
