,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,1,0,1
1,,0,0,0
2,1,,0,1
3,2,,1,1
4,0,,0,0
5,1,,1,0
6,0,,0,0
7,0,,0,0
8,,1,1,0
9,,0,0,0
10,0,,0,0
11,,0,0,0
12,,2,1,1
13,0,,0,0
14,0,,0,0
15,4,,4,0
16,0,,0,0
17,2,,2,0
18,0,,0,0
19,1,,1,0
20,0,,0,0
21,,0,0,0
22,0,,0,0
23,3,,3,0
24,0,,0,0
25,,1,1,0
26,0,,0,0
27,0,,0,0
28,3,,2,1
29,2,,2,0
30,,0,0,0
31,,0,0,0
32,,0,0,0
33,1,,1,0
34,2,,1,1
35,0,,0,0
36,2,,2,0
37,0,,0,0
38,,0,0,0
39,,1,1,0
40,0,,0,0
41,2,,2,0
42,2,,1,1
43,,1,1,0
44,,0,0,0
45,1,,1,0
46,,0,0,0
47,,1,1,0
48,0,,0,0
49,0,,0,0
50,1,,0,1
51,,0,0,0
52,,1,1,0
53,0,,0,0
54,,0,0,0
55,0,,0,0
56,,0,0,0
57,0,,0,0
58,0,,0,0
59,,0,0,0
60,0,,0,0
61,,1,1,0
62,0,,0,0
63,2,,1,1
64,2,,1,1
65,1,,1,0
66,1,,1,0
67,,0,0,0
68,0,,0,0
69,3,,2,1
70,,0,0,0
71,0,,0,0
72,0,,0,0
73,0,,0,0
74,2,,1,1
75,0,,0,0
76,,0,0,0
77,1,,1,0
78,2,,1,1
79,,1,1,0
80,,0,0,0
81,0,,0,0
82,0,,0,0
83,,0,0,0
84,1,,1,0
85,,0,0,0
86,,0,0,0
87,0,,0,0
88,3,,2,1
89,2,,2,0
90,0,,0,0
91,,0,0,0
92,2,,2,0
93,2,,2,0
94,,0,0,0
95,,1,1,0
96,0,,0,0
97,0,,0,0
98,0,,0,0
99,0,,0,0
100,,0,0,0
101,1,,1,0
102,1,,1,0
103,0,,0,0
104,2,,2,0
105,0,,0,0
106,0,,0,0
107,0,,0,0
108,0,,0,0
109,0,,0,0
110,,1,1,0
111,2,,2,0
112,2,,2,0
113,,0,0,0
114,,0,0,0
115,1,,1,0
116,0,,0,0
117,0,,0,0
118,,0,0,0
119,2,,2,0
120,1,,1,0
121,,0,0,0
122,1,,1,0
123,0,,0,0
124,0,,0,0
125,0,,0,0
126,,0,0,0
127,,0,0,0
128,1,,1,0
129,0,,0,0
130,1,,1,0
131,0,,0,0
132,2,,1,1
133,0,,0,0
134,0,,0,0
135,,0,0,0
136,0,,0,0
137,2,,2,0
138,,0,0,0
139,0,,0,0
140,2,,2,0
141,,0,0,0
142,1,,0,1
143,0,,0,0
144,2,,2,0
145,,1,0,1
146,1,,1,0
147,0,,0,0
148,,0,0,0
149,,0,0,0
150,,1,1,0
151,1,,1,0
152,,0,0,0
153,,1,1,0
154,2,,2,0
155,1,,1,0
156,1,,1,0
157,1,,1,0
158,,1,1,0
159,0,,0,0
160,1,,1,0
161,,0,0,0
162,3,,2,1
163,0,,0,0
164,1,,1,0
165,2,,2,0
166,0,,0,0
167,0,,0,0
168,2,,2,0
169,,2,2,0
170,,0,0,0
171,1,,1,0
172,0,,0,0
173,0,,0,0
174,,0,0,0
175,0,,0,0
176,0,,0,0
177,1,,1,0
178,,1,0,1
179,,0,0,0
180,0,,0,0
181,1,,1,0
182,,0,0,0
183,0,,0,0
184,1,,0,1
185,1,,0,1
186,1,,1,0
187,0,,0,0
188,1,,1,0
189,2,,2,0
190,0,,0,0
191,0,,0,0
192,1,,1,0
193,,0,0,0
194,,1,1,0
195,0,,0,0
196,0,,0,0
197,,0,0,0
198,0,,0,0
199,,0,0,0
200,1,,1,0
201,1,,1,0
202,,1,1,0
203,0,,0,0
204,0,,0,0
205,0,,0,0
206,1,,0,1
207,0,,0,0
208,0,,0,0
209,0,,0,0
210,,0,0,0
211,,1,1,0
212,1,,1,0
213,,0,0,0
214,0,,0,0
215,2,,1,1
216,,0,0,0
217,1,,1,0
218,1,,1,0
219,2,,1,1
220,,0,0,0
221,,0,0,0
222,,0,0,0
223,1,,0,1
224,2,,2,0
225,0,,0,0
226,,1,0,1
227,1,,1,0
228,0,,0,0
229,1,,1,0
230,0,,0,0
231,,0,0,0
232,1,,1,0
233,0,,0,0
234,0,,0,0
235,0,,0,0
236,0,,0,0
237,0,,0,0
238,3,,3,0
239,0,,0,0
240,1,,0,1
241,,0,0,0
242,,2,2,0
243,2,,2,0
244,0,,0,0
245,,0,0,0
246,,0,0,0
247,0,,0,0
248,0,,0,0
249,0,,0,0
250,2,,1,1
251,0,,0,0
252,1,,0,1
253,,3,2,1
254,3,,3,0
255,0,,0,0
256,,0,0,0
257,1,,1,0
258,1,,1,0
259,1,,1,0
260,0,,0,0
261,,0,0,0
