,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,,1,1,0
2,0,,0,0
3,0,,0,0
4,1,,1,0
5,0,,0,0
6,,0,0,0
7,1,,1,0
8,,0,0,0
9,3,,3,0
10,,0,0,0
11,2,,2,0
12,,1,1,0
13,,0,0,0
14,2,,1,1
15,0,,0,0
16,2,,1,1
17,,0,0,0
18,,1,0,1
19,2,,2,0
20,1,,0,1
21,0,,0,0
22,0,,0,0
23,0,,0,0
24,5,,5,0
25,1,,1,0
26,,2,1,1
27,,0,0,0
28,,0,0,0
29,1,,1,0
30,2,,2,0
31,,0,0,0
32,0,,0,0
33,0,,0,0
34,0,,0,0
35,0,,0,0
36,,2,1,1
37,4,,4,0
38,,0,0,0
39,0,,0,0
40,,0,0,0
41,0,,0,0
42,0,,0,0
43,0,,0,0
44,0,,0,0
45,0,,0,0
46,,0,0,0
47,1,,1,0
48,0,,0,0
49,1,,1,0
50,0,,0,0
51,,0,0,0
52,0,,0,0
53,0,,0,0
54,1,,1,0
55,2,,2,0
56,2,,2,0
57,0,,0,0
58,,1,1,0
59,0,,0,0
60,0,,0,0
61,1,,0,1
62,0,,0,0
63,0,,0,0
64,0,,0,0
65,,1,1,0
66,0,,0,0
67,,1,1,0
68,1,,1,0
69,,0,0,0
70,4,,3,1
71,0,,0,0
72,1,,0,1
73,,0,0,0
74,1,,1,0
75,0,,0,0
76,1,,1,0
77,2,,1,1
78,,0,0,0
79,,0,0,0
80,4,,4,0
81,2,,2,0
82,3,,2,1
83,0,,0,0
84,0,,0,0
85,1,,0,1
86,4,,2,2
87,,0,0,0
88,2,,1,1
89,0,,0,0
90,1,,1,0
91,1,,0,1
92,0,,0,0
93,1,,1,0
94,0,,0,0
95,,0,0,0
96,3,,3,0
97,1,,1,0
98,0,,0,0
99,1,,1,0
100,1,,0,1
101,1,,0,1
102,2,,1,1
103,2,,2,0
104,0,,0,0
105,0,,0,0
106,1,,1,0
107,,0,0,0
108,,0,0,0
109,0,,0,0
110,0,,0,0
111,0,,0,0
112,1,,1,0
113,,0,0,0
114,0,,0,0
115,1,,1,0
116,,0,0,0
117,1,,0,1
118,1,,1,0
119,0,,0,0
120,0,,0,0
121,1,,1,0
122,0,,0,0
123,1,,1,0
124,,0,0,0
125,0,,0,0
126,1,,0,1
127,0,,0,0
128,0,,0,0
129,,0,0,0
130,,0,0,0
131,0,,0,0
132,0,,0,0
133,,0,0,0
134,3,,2,1
135,2,,2,0
136,,1,1,0
137,0,,0,0
138,,0,0,0
139,0,,0,0
140,4,,4,0
141,1,,1,0
142,,0,0,0
143,,0,0,0
144,,1,1,0
145,0,,0,0
146,2,,2,0
147,0,,0,0
148,0,,0,0
149,0,,0,0
150,1,,1,0
151,,0,0,0
152,,0,0,0
153,,0,0,0
154,,0,0,0
155,2,,2,0
156,0,,0,0
157,,1,1,0
158,0,,0,0
159,0,,0,0
160,,1,0,1
161,,0,0,0
162,0,,0,0
163,0,,0,0
164,1,,1,0
165,2,,2,0
166,1,,0,1
167,0,,0,0
