,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,0,0,0
1,0,,0,0
2,1,,1,0
3,0,,0,0
4,,0,0,0
5,0,,0,0
6,0,,0,0
7,1,,0,1
8,0,,0,0
9,0,,0,0
10,0,,0,0
11,0,,0,0
12,0,,0,0
13,0,,0,0
14,0,,0,0
15,0,,0,0
16,0,,0,0
17,,0,0,0
18,1,,1,0
19,1,,1,0
20,1,,1,0
21,,0,0,0
22,2,,0,2
23,0,,0,0
24,,0,0,0
25,0,,0,0
26,0,,0,0
27,1,,1,0
28,,0,0,0
29,0,,0,0
30,0,,0,0
31,0,,0,0
32,,0,0,0
33,0,,0,0
34,0,,0,0
35,0,,0,0
36,1,,1,0
37,0,,0,0
38,0,,0,0
39,1,,1,0
40,0,,0,0
41,1,,1,0
42,0,,0,0
43,,0,0,0
44,,0,0,0
45,0,,0,0
46,0,,0,0
47,0,,0,0
48,1,,1,0
49,,0,0,0
50,1,,0,1
51,0,,0,0
52,0,,0,0
53,,0,0,0
54,,1,0,1
55,,0,0,0
56,2,,2,0
57,0,,0,0
58,,0,0,0
59,0,,0,0
60,,0,0,0
61,0,,0,0
62,0,,0,0
63,0,,0,0
64,1,,1,0
65,,0,0,0
66,,0,0,0
67,,2,2,0
68,,0,0,0
69,1,,0,1
70,0,,0,0
71,,1,1,0
72,1,,1,0
73,0,,0,0
74,0,,0,0
75,0,,0,0
76,2,,2,0
77,0,,0,0
78,0,,0,0
79,0,,0,0
80,2,,2,0
81,0,,0,0
82,1,,1,0
83,1,,0,1
84,0,,0,0
85,,1,1,0
86,0,,0,0
87,0,,0,0
88,0,,0,0
89,2,,2,0
90,0,,0,0
91,0,,0,0
92,,1,1,0
93,,0,0,0
94,0,,0,0
95,0,,0,0
96,,0,0,0
97,2,,2,0
98,,0,0,0
99,0,,0,0
100,3,,3,0
101,,2,2,0
102,,0,0,0
103,,0,0,0
104,0,,0,0
105,0,,0,0
106,1,,0,1
107,0,,0,0
108,,1,1,0
109,1,,1,0
110,,0,0,0
111,0,,0,0
112,0,,0,0
113,0,,0,0
114,0,,0,0
115,,0,0,0
116,0,,0,0
117,0,,0,0
118,,0,0,0
119,1,,0,1
120,3,,3,0
121,,0,0,0
122,0,,0,0
123,0,,0,0
124,,0,0,0
125,0,,0,0
126,,1,1,0
127,1,,0,1
128,,0,0,0
129,0,,0,0
130,1,,1,0
131,,0,0,0
132,0,,0,0
133,,0,0,0
134,,0,0,0
135,0,,0,0
136,,0,0,0
137,0,,0,0
138,0,,0,0
139,0,,0,0
140,0,,0,0
141,0,,0,0
142,0,,0,0
143,1,,1,0
144,2,,2,0
145,0,,0,0
146,0,,0,0
147,,1,1,0
148,0,,0,0
149,0,,0,0
150,,0,0,0
151,0,,0,0
152,,0,0,0
153,0,,0,0
154,,0,0,0
155,0,,0,0
156,,0,0,0
157,,0,0,0
158,0,,0,0
159,,0,0,0
160,3,,3,0
161,2,,2,0
162,,0,0,0
163,0,,0,0
164,,0,0,0
165,2,,1,1
166,0,,0,0
167,1,,1,0
168,,0,0,0
169,,0,0,0
170,1,,1,0
171,2,,2,0
172,,1,1,0
173,0,,0,0
174,,0,0,0
175,0,,0,0
176,2,,2,0
177,,0,0,0
