,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,2,,2,0
1,0,,0,0
2,,1,1,0
3,0,,0,0
4,3,,2,1
5,,0,0,0
6,,0,0,0
7,,1,1,0
8,,1,1,0
9,0,,0,0
10,2,,2,0
11,,1,1,0
12,,3,3,0
13,2,,1,1
14,2,,2,0
15,,3,2,1
16,1,,1,0
17,3,,3,0
18,2,,2,0
19,,1,1,0
20,0,,0,0
21,3,,3,0
22,1,,0,1
23,,0,0,0
24,0,,0,0
25,0,,0,0
26,,0,0,0
27,,1,1,0
28,0,,0,0
29,3,,3,0
30,0,,0,0
31,0,,0,0
32,,0,0,0
33,,0,0,0
34,1,,1,0
35,2,,2,0
36,1,,1,0
37,,0,0,0
38,0,,0,0
39,,2,2,0
40,3,,3,0
41,1,,1,0
42,,1,1,0
43,0,,0,0
44,,3,2,1
45,,1,1,0
46,1,,1,0
47,2,,2,0
48,1,,1,0
49,0,,0,0
50,,0,0,0
51,2,,2,0
52,,0,0,0
53,1,,1,0
54,2,,2,0
55,0,,0,0
56,1,,1,0
57,,0,0,0
58,,0,0,0
59,1,,1,0
60,0,,0,0
61,0,,0,0
62,0,,0,0
63,1,,1,0
64,,2,2,0
65,,1,1,0
66,2,,2,0
67,,2,2,0
68,,1,1,0
69,1,,1,0
70,1,,1,0
71,,1,1,0
72,0,,0,0
73,1,,1,0
74,1,,1,0
75,0,,0,0
76,0,,0,0
77,,1,1,0
78,0,,0,0
79,0,,0,0
80,0,,0,0
81,,0,0,0
82,0,,0,0
83,1,,1,0
84,,1,1,0
85,0,,0,0
86,0,,0,0
87,,3,3,0
88,0,,0,0
89,0,,0,0
90,,1,1,0
91,0,,0,0
92,,2,1,1
93,0,,0,0
94,0,,0,0
95,0,,0,0
96,,1,1,0
97,,1,1,0
98,,0,0,0
99,0,,0,0
100,,2,2,0
101,0,,0,0
102,,0,0,0
103,0,,0,0
104,,0,0,0
105,0,,0,0
106,0,,0,0
107,1,,1,0
108,0,,0,0
109,1,,1,0
110,,2,2,0
111,1,,1,0
112,,2,2,0
113,0,,0,0
114,2,,1,1
115,0,,0,0
116,2,,2,0
117,0,,0,0
118,2,,2,0
119,3,,3,0
120,1,,1,0
121,0,,0,0
122,,3,2,1
123,0,,0,0
124,0,,0,0
125,3,,3,0
126,,2,2,0
127,2,,2,0
128,0,,0,0
129,2,,2,0
130,,1,1,0
131,,0,0,0
132,,2,2,0
133,0,,0,0
134,0,,0,0
135,1,,1,0
136,1,,1,0
137,2,,2,0
138,1,,1,0
139,1,,1,0
140,,0,0,0
141,,2,1,1
142,1,,1,0
143,,0,0,0
144,0,,0,0
