,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,2,,2,0
1,0,,0,0
2,0,,0,0
3,1,,1,0
4,,0,0,0
5,,0,0,0
6,1,,1,0
7,0,,0,0
8,,0,0,0
9,2,,2,0
10,,3,2,1
11,1,,1,0
12,,0,0,0
13,1,,1,0
14,,2,2,0
15,2,,1,1
16,2,,2,0
17,2,,2,0
18,,0,0,0
19,2,,2,0
20,1,,0,1
21,,1,1,0
22,,1,1,0
23,0,,0,0
24,1,,1,0
25,2,,2,0
26,0,,0,0
27,0,,0,0
28,,0,0,0
29,1,,1,0
30,,0,0,0
31,0,,0,0
32,0,,0,0
33,0,,0,0
34,,1,1,0
35,,0,0,0
36,0,,0,0
37,,0,0,0
38,,0,0,0
39,1,,1,0
40,1,,0,1
41,,0,0,0
42,,0,0,0
43,0,,0,0
44,,3,2,1
45,,0,0,0
46,,0,0,0
47,1,,1,0
48,,0,0,0
49,3,,3,0
50,2,,2,0
51,1,,1,0
52,4,,2,2
53,0,,0,0
54,1,,1,0
55,1,,0,1
56,0,,0,0
57,,2,1,1
58,0,,0,0
59,2,,1,1
60,2,,1,1
61,3,,2,1
62,,0,0,0
63,1,,1,0
64,2,,2,0
65,,1,0,1
66,,1,0,1
67,0,,0,0
68,1,,1,0
69,,0,0,0
70,,3,2,1
71,0,,0,0
72,0,,0,0
73,,0,0,0
74,0,,0,0
75,0,,0,0
76,1,,1,0
77,,0,0,0
78,,0,0,0
79,,0,0,0
80,1,,1,0
81,1,,0,1
82,0,,0,0
83,1,,1,0
84,0,,0,0
85,0,,0,0
86,1,,1,0
87,,0,0,0
88,0,,0,0
89,,0,0,0
90,,0,0,0
91,,0,0,0
92,0,,0,0
93,,0,0,0
94,,0,0,0
95,,0,0,0
96,0,,0,0
97,,1,1,0
98,2,,2,0
99,,0,0,0
100,2,,2,0
101,1,,1,0
102,0,,0,0
103,0,,0,0
104,,1,1,0
105,3,,3,0
106,,1,1,0
107,,0,0,0
108,1,,1,0
109,1,,1,0
110,0,,0,0
111,0,,0,0
112,0,,0,0
113,0,,0,0
114,0,,0,0
115,0,,0,0
116,,1,1,0
117,2,,2,0
118,0,,0,0
119,,0,0,0
120,0,,0,0
121,,0,0,0
122,0,,0,0
123,0,,0,0
124,0,,0,0
125,1,,1,0
126,3,,2,1
127,,0,0,0
128,0,,0,0
129,2,,0,2
130,0,,0,0
131,,0,0,0
132,,0,0,0
133,0,,0,0
134,1,,1,0
135,2,,2,0
136,0,,0,0
137,0,,0,0
138,,0,0,0
139,0,,0,0
140,0,,0,0
141,0,,0,0
142,0,,0,0
143,,0,0,0
144,,0,0,0
145,1,,1,0
146,2,,0,2
147,2,,0,2
148,0,,0,0
149,0,,0,0
150,,3,3,0
151,1,,0,1
152,0,,0,0
153,0,,0,0
154,0,,0,0
155,0,,0,0
156,0,,0,0
157,,0,0,0
158,3,,3,0
159,2,,1,1
160,,0,0,0
161,2,,1,1
162,1,,0,1
163,,0,0,0
164,2,,2,0
165,,1,1,0
166,0,,0,0
167,0,,0,0
168,2,,2,0
169,0,,0,0
170,0,,0,0
171,,0,0,0
172,,1,1,0
173,0,,0,0
174,1,,1,0
175,0,,0,0
176,0,,0,0
177,0,,0,0
178,3,,2,1
179,,2,2,0
180,,0,0,0
181,,0,0,0
182,0,,0,0
183,,2,2,0
184,,1,1,0
185,,0,0,0
186,1,,0,1
187,,0,0,0
188,1,,1,0
189,3,,3,0
190,,0,0,0
