,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,0,0,0
1,1,,1,0
2,0,,0,0
3,,0,0,0
4,1,,1,0
5,,0,0,0
6,1,,1,0
7,1,,1,0
8,0,,0,0
9,0,,0,0
10,0,,0,0
11,0,,0,0
12,,0,0,0
13,3,,2,1
14,0,,0,0
15,,0,0,0
16,,0,0,0
17,0,,0,0
18,,0,0,0
19,0,,0,0
20,1,,1,0
21,1,,1,0
22,3,,3,0
23,1,,1,0
24,,0,0,0
25,1,,0,1
26,1,,1,0
27,0,,0,0
28,0,,0,0
29,3,,3,0
30,0,,0,0
31,,0,0,0
32,1,,0,1
33,,0,0,0
34,1,,1,0
35,,0,0,0
36,,0,0,0
37,0,,0,0
38,,0,0,0
39,0,,0,0
40,1,,1,0
41,0,,0,0
42,,0,0,0
43,0,,0,0
44,1,,1,0
45,,0,0,0
46,0,,0,0
47,1,,0,1
48,,0,0,0
49,1,,1,0
50,0,,0,0
51,1,,0,1
52,0,,0,0
53,0,,0,0
54,,1,1,0
55,0,,0,0
56,,1,1,0
57,0,,0,0
58,,0,0,0
59,1,,0,1
60,2,,2,0
61,1,,1,0
62,2,,2,0
63,2,,2,0
64,1,,1,0
65,,1,1,0
66,0,,0,0
67,,1,1,0
68,3,,3,0
69,0,,0,0
70,0,,0,0
71,1,,1,0
72,2,,2,0
73,,0,0,0
74,1,,1,0
75,2,,1,1
76,2,,2,0
77,,0,0,0
78,,0,0,0
79,2,,2,0
80,1,,1,0
81,0,,0,0
82,0,,0,0
83,,0,0,0
84,,0,0,0
85,,0,0,0
86,0,,0,0
87,0,,0,0
88,0,,0,0
89,0,,0,0
90,1,,0,1
91,1,,0,1
92,2,,2,0
93,,0,0,0
94,0,,0,0
95,0,,0,0
96,,0,0,0
97,1,,1,0
98,,0,0,0
99,,0,0,0
100,1,,1,0
101,2,,2,0
102,0,,0,0
103,1,,0,1
104,0,,0,0
105,2,,2,0
106,1,,1,0
107,,0,0,0
108,1,,1,0
109,,0,0,0
110,,1,1,0
111,1,,1,0
112,,0,0,0
113,1,,1,0
114,0,,0,0
115,,0,0,0
116,0,,0,0
117,,0,0,0
118,4,,3,1
119,,0,0,0
120,0,,0,0
121,0,,0,0
122,2,,1,1
123,,0,0,0
124,2,,2,0
125,2,,2,0
126,1,,1,0
127,2,,2,0
128,3,,2,1
129,,2,2,0
130,,1,1,0
131,0,,0,0
132,0,,0,0
133,,0,0,0
134,0,,0,0
135,,0,0,0
136,,0,0,0
137,0,,0,0
138,1,,1,0
139,1,,1,0
140,4,,4,0
141,,0,0,0
142,1,,1,0
143,0,,0,0
144,1,,1,0
145,2,,2,0
146,0,,0,0
147,2,,2,0
148,3,,3,0
149,1,,1,0
150,2,,1,1
151,,1,1,0
152,0,,0,0
153,1,,1,0
154,0,,0,0
155,,0,0,0
156,,2,1,1
157,0,,0,0
158,0,,0,0
159,1,,1,0
160,1,,1,0
161,1,,1,0
162,0,,0,0
163,1,,1,0
164,1,,1,0
165,0,,0,0
166,0,,0,0
167,1,,1,0
