,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,0,0,0
1,,2,0,2
2,1,,1,0
3,,2,2,0
4,1,,1,0
5,0,,0,0
6,2,,2,0
7,,0,0,0
8,4,,3,1
9,3,,3,0
10,1,,1,0
11,1,,1,0
12,0,,0,0
13,2,,1,1
14,1,,1,0
15,,0,0,0
16,0,,0,0
17,0,,0,0
18,1,,0,1
19,,0,0,0
20,1,,1,0
21,,0,0,0
22,1,,1,0
23,,0,0,0
24,0,,0,0
25,2,,2,0
26,1,,0,1
27,,0,0,0
28,,1,1,0
29,0,,0,0
30,1,,1,0
31,,2,2,0
32,1,,1,0
33,3,,1,2
34,,1,1,0
35,1,,1,0
36,2,,2,0
37,,0,0,0
38,2,,2,0
39,2,,2,0
40,1,,1,0
41,1,,1,0
42,,1,0,1
43,,0,0,0
44,2,,2,0
45,0,,0,0
46,0,,0,0
47,0,,0,0
48,,2,0,2
49,2,,2,0
50,0,,0,0
51,0,,0,0
52,,1,1,0
53,0,,0,0
54,0,,0,0
55,2,,1,1
56,2,,0,2
57,2,,2,0
58,2,,2,0
59,4,,3,1
60,,0,0,0
61,,1,1,0
62,0,,0,0
63,0,,0,0
64,1,,0,1
65,,0,0,0
66,0,,0,0
67,0,,0,0
68,,3,3,0
69,,0,0,0
70,2,,1,1
71,1,,1,0
72,,0,0,0
73,3,,2,1
74,,0,0,0
75,1,,0,1
76,,0,0,0
77,,0,0,0
78,,0,0,0
79,,0,0,0
80,0,,0,0
81,1,,0,1
82,0,,0,0
83,1,,0,1
84,1,,0,1
85,0,,0,0
86,0,,0,0
87,0,,0,0
88,1,,1,0
89,0,,0,0
90,3,,3,0
91,2,,1,1
92,,2,2,0
93,1,,0,1
94,,1,1,0
95,2,,2,0
96,2,,1,1
97,2,,1,1
98,,0,0,0
99,2,,1,1
100,0,,0,0
101,,0,0,0
102,0,,0,0
103,4,,2,2
104,0,,0,0
105,1,,1,0
106,,0,0,0
107,1,,0,1
108,,0,0,0
109,3,,2,1
110,1,,0,1
111,0,,0,0
112,3,,3,0
113,,1,0,1
114,,0,0,0
115,,1,1,0
116,0,,0,0
117,1,,0,1
118,4,,3,1
119,2,,2,0
120,3,,3,0
121,2,,2,0
122,0,,0,0
123,,0,0,0
124,2,,2,0
125,0,,0,0
126,2,,2,0
127,,0,0,0
128,1,,1,0
129,,1,1,0
130,1,,0,1
131,,0,0,0
132,1,,1,0
133,,0,0,0
134,0,,0,0
135,1,,0,1
136,0,,0,0
137,1,,1,0
138,0,,0,0
139,0,,0,0
140,,0,0,0
141,1,,1,0
142,2,,1,1
143,1,,1,0
144,1,,0,1
145,1,,1,0
146,,0,0,0
147,1,,1,0
148,,0,0,0
149,0,,0,0
150,0,,0,0
151,0,,0,0
152,1,,0,1
153,1,,1,0
154,2,,0,2
155,1,,1,0
156,1,,1,0
157,2,,2,0
158,3,,3,0
159,2,,2,0
160,,2,1,1
161,1,,1,0
162,,2,2,0
163,,1,1,0
164,0,,0,0
165,2,,1,1
166,0,,0,0
167,3,,3,0
168,,0,0,0
169,,1,1,0
170,,0,0,0
171,0,,0,0
172,0,,0,0
173,,0,0,0
174,0,,0,0
175,,0,0,0
176,1,,1,0
