,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,2,,2,0
1,2,,2,0
2,,0,0,0
3,2,,2,0
4,0,,0,0
5,,0,0,0
6,2,,2,0
7,3,,2,1
8,,0,0,0
9,0,,0,0
10,1,,0,1
11,2,,2,0
12,,0,0,0
13,1,,0,1
14,0,,0,0
15,,1,1,0
16,,0,0,0
17,0,,0,0
18,,1,1,0
19,1,,1,0
20,,0,0,0
21,,0,0,0
22,1,,1,0
23,3,,2,1
24,,1,1,0
25,1,,1,0
26,,1,1,0
27,,0,0,0
28,0,,0,0
29,,0,0,0
30,3,,3,0
31,,0,0,0
32,1,,1,0
33,1,,0,1
34,0,,0,0
35,3,,2,1
36,,0,0,0
37,1,,1,0
38,,1,1,0
39,2,,2,0
40,,0,0,0
41,0,,0,0
42,0,,0,0
43,3,,3,0
44,,1,1,0
45,,1,1,0
46,0,,0,0
47,1,,1,0
48,1,,1,0
49,,1,1,0
50,0,,0,0
51,,0,0,0
52,,0,0,0
53,,1,0,1
54,0,,0,0
55,,0,0,0
56,0,,0,0
57,0,,0,0
58,1,,1,0
59,0,,0,0
60,1,,1,0
61,2,,1,1
62,0,,0,0
63,0,,0,0
64,,1,1,0
65,3,,3,0
66,2,,2,0
67,2,,2,0
68,0,,0,0
69,0,,0,0
70,1,,1,0
71,,1,1,0
72,,0,0,0
73,,0,0,0
74,0,,0,0
75,,0,0,0
76,,1,1,0
77,0,,0,0
78,1,,0,1
79,,0,0,0
80,,0,0,0
81,0,,0,0
82,,0,0,0
83,,0,0,0
84,1,,1,0
85,,1,1,0
86,1,,0,1
87,,0,0,0
88,,2,2,0
89,1,,1,0
90,1,,1,0
91,2,,2,0
92,,0,0,0
93,2,,2,0
94,,1,1,0
95,,0,0,0
96,,1,1,0
97,2,,2,0
98,1,,1,0
99,2,,2,0
100,,0,0,0
101,,0,0,0
102,0,,0,0
103,2,,1,1
104,,0,0,0
105,,0,0,0
106,0,,0,0
107,,0,0,0
108,1,,1,0
109,,0,0,0
110,0,,0,0
111,0,,0,0
112,0,,0,0
113,2,,1,1
114,0,,0,0
115,3,,3,0
116,,1,1,0
117,1,,1,0
118,2,,2,0
119,0,,0,0
120,0,,0,0
121,3,,3,0
122,0,,0,0
123,1,,1,0
124,,2,1,1
125,,0,0,0
126,0,,0,0
127,,1,1,0
128,0,,0,0
129,,0,0,0
130,,0,0,0
131,,0,0,0
132,0,,0,0
133,2,,2,0
134,3,,2,1
135,2,,2,0
136,0,,0,0
137,2,,1,1
138,2,,2,0
139,1,,1,0
140,,0,0,0
141,0,,0,0
142,,0,0,0
143,1,,1,0
144,0,,0,0
145,,0,0,0
146,2,,2,0
147,0,,0,0
148,0,,0,0
149,1,,1,0
150,0,,0,0
151,2,,2,0
152,,1,1,0
153,,0,0,0
154,1,,1,0
