,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,0,0,0
1,1,,0,1
2,,0,0,0
3,2,,2,0
4,0,,0,0
5,0,,0,0
6,0,,0,0
7,,0,0,0
8,0,,0,0
9,1,,1,0
10,0,,0,0
11,0,,0,0
12,,2,0,2
13,0,,0,0
14,1,,0,1
15,,0,0,0
16,0,,0,0
17,0,,0,0
18,3,,3,0
19,1,,1,0
20,0,,0,0
21,,1,1,0
22,0,,0,0
23,0,,0,0
24,0,,0,0
25,0,,0,0
26,0,,0,0
27,0,,0,0
28,2,,2,0
29,,0,0,0
30,0,,0,0
31,,1,1,0
32,1,,1,0
33,1,,1,0
34,5,,3,2
35,1,,1,0
36,3,,1,2
37,1,,0,1
38,2,,1,1
39,0,,0,0
40,3,,3,0
41,2,,2,0
42,3,,3,0
43,0,,0,0
44,0,,0,0
45,1,,1,0
46,,0,0,0
47,,1,0,1
48,2,,2,0
49,1,,1,0
50,0,,0,0
51,0,,0,0
52,0,,0,0
53,,1,1,0
54,2,,2,0
55,,0,0,0
56,2,,1,1
57,,0,0,0
58,3,,3,0
59,0,,0,0
60,0,,0,0
61,1,,1,0
62,,1,1,0
63,,2,2,0
64,0,,0,0
65,,1,0,1
66,0,,0,0
67,3,,2,1
68,,2,2,0
69,4,,2,2
70,,0,0,0
71,0,,0,0
72,0,,0,0
73,0,,0,0
74,0,,0,0
75,0,,0,0
76,0,,0,0
77,,1,0,1
78,1,,1,0
79,0,,0,0
80,1,,1,0
81,,0,0,0
82,1,,1,0
83,0,,0,0
84,0,,0,0
85,,0,0,0
86,1,,0,1
87,0,,0,0
88,,0,0,0
89,0,,0,0
90,0,,0,0
91,,0,0,0
92,,2,1,1
93,1,,1,0
94,,0,0,0
95,1,,1,0
96,0,,0,0
97,0,,0,0
98,0,,0,0
99,1,,1,0
100,1,,0,1
101,1,,1,0
102,0,,0,0
103,2,,2,0
104,,0,0,0
105,,1,0,1
106,0,,0,0
107,,0,0,0
108,,1,1,0
109,2,,2,0
110,1,,1,0
111,,0,0,0
112,0,,0,0
113,2,,2,0
114,0,,0,0
115,,0,0,0
116,0,,0,0
117,1,,1,0
118,0,,0,0
119,,0,0,0
120,,0,0,0
121,,0,0,0
122,,1,1,0
123,0,,0,0
124,0,,0,0
125,,0,0,0
126,1,,0,1
127,1,,1,0
128,0,,0,0
129,,0,0,0
130,1,,0,1
131,,1,0,1
132,0,,0,0
133,0,,0,0
134,0,,0,0
135,0,,0,0
136,2,,2,0
137,0,,0,0
138,1,,1,0
139,1,,1,0
140,,1,1,0
141,,0,0,0
142,1,,1,0
143,1,,0,1
144,1,,1,0
145,0,,0,0
146,0,,0,0
147,2,,1,1
148,4,,2,2
149,1,,1,0
150,,0,0,0
151,,0,0,0
152,,0,0,0
153,,0,0,0
154,0,,0,0
155,,0,0,0
156,,2,2,0
157,,1,1,0
158,0,,0,0
159,3,,2,1
160,,0,0,0
161,0,,0,0
162,,1,1,0
163,,1,1,0
164,,0,0,0
165,1,,1,0
166,0,,0,0
167,0,,0,0
168,2,,2,0
169,1,,0,1
170,1,,1,0
171,0,,0,0
172,3,,2,1
173,1,,1,0
174,0,,0,0
175,1,,1,0
176,0,,0,0
177,,1,1,0
178,,0,0,0
179,0,,0,0
180,,0,0,0
181,0,,0,0
182,0,,0,0
183,0,,0,0
184,1,,1,0
185,2,,2,0
186,0,,0,0
187,0,,0,0
188,4,,3,1
189,0,,0,0
190,1,,1,0
191,0,,0,0
192,0,,0,0
193,,0,0,0
194,0,,0,0
195,0,,0,0
196,0,,0,0
197,,1,1,0
198,0,,0,0
199,0,,0,0
200,0,,0,0
201,,2,2,0
202,0,,0,0
203,,0,0,0
204,0,,0,0
205,0,,0,0
206,0,,0,0
207,0,,0,0
208,0,,0,0
209,,0,0,0
210,,1,1,0
211,,0,0,0
212,1,,0,1
213,1,,1,0
214,0,,0,0
215,0,,0,0
216,3,,3,0
217,,0,0,0
218,,0,0,0
219,0,,0,0
220,1,,1,0
221,,0,0,0
222,,0,0,0
223,0,,0,0
224,,0,0,0
225,2,,2,0
226,3,,1,2
