,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,0,0,0
1,,1,1,0
2,1,,1,0
3,,1,1,0
4,,0,0,0
5,1,,1,0
6,0,,0,0
7,1,,0,1
8,,2,2,0
9,0,,0,0
10,1,,1,0
11,0,,0,0
12,1,,1,0
13,3,,3,0
14,,0,0,0
15,0,,0,0
16,3,,3,0
17,3,,3,0
18,1,,1,0
19,0,,0,0
20,,0,0,0
21,1,,1,0
22,0,,0,0
23,1,,1,0
24,1,,1,0
25,,0,0,0
26,2,,1,1
27,1,,1,0
28,0,,0,0
29,0,,0,0
30,,0,0,0
31,,0,0,0
32,,1,1,0
33,,0,0,0
34,,0,0,0
35,,1,1,0
36,,0,0,0
37,0,,0,0
38,,0,0,0
39,0,,0,0
40,0,,0,0
41,4,,4,0
42,0,,0,0
43,,0,0,0
44,,0,0,0
45,4,,3,1
46,,0,0,0
47,0,,0,0
48,,0,0,0
49,,0,0,0
50,1,,1,0
51,1,,1,0
52,1,,1,0
53,0,,0,0
54,0,,0,0
55,,1,1,0
56,1,,1,0
57,,0,0,0
58,1,,1,0
59,0,,0,0
60,0,,0,0
61,2,,1,1
62,1,,1,0
63,0,,0,0
64,2,,2,0
65,0,,0,0
66,0,,0,0
67,,2,2,0
68,1,,0,1
69,0,,0,0
70,0,,0,0
71,2,,2,0
72,1,,1,0
73,,0,0,0
74,0,,0,0
75,2,,2,0
76,1,,1,0
77,2,,2,0
78,0,,0,0
79,1,,1,0
80,,0,0,0
81,,0,0,0
82,0,,0,0
83,1,,1,0
84,0,,0,0
85,,1,1,0
86,2,,2,0
87,1,,1,0
88,0,,0,0
89,,1,1,0
90,1,,1,0
91,0,,0,0
92,1,,1,0
93,0,,0,0
94,,0,0,0
95,0,,0,0
96,0,,0,0
97,1,,0,1
98,2,,2,0
99,0,,0,0
100,0,,0,0
101,,0,0,0
102,,2,2,0
103,1,,1,0
104,1,,0,1
105,,0,0,0
106,2,,2,0
107,,0,0,0
108,,0,0,0
109,0,,0,0
110,1,,0,1
111,,1,1,0
112,0,,0,0
113,,0,0,0
114,0,,0,0
115,0,,0,0
116,1,,1,0
117,0,,0,0
118,,1,1,0
119,4,,3,1
120,,1,1,0
121,0,,0,0
122,,0,0,0
123,0,,0,0
124,3,,3,0
125,,0,0,0
126,2,,2,0
127,,0,0,0
128,0,,0,0
129,2,,2,0
130,1,,1,0
131,0,,0,0
132,1,,1,0
133,1,,1,0
134,3,,2,1
135,1,,1,0
136,0,,0,0
137,,2,2,0
138,,0,0,0
139,,0,0,0
140,2,,2,0
141,,0,0,0
142,1,,1,0
143,0,,0,0
144,0,,0,0
145,0,,0,0
146,0,,0,0
147,,1,1,0
148,0,,0,0
149,1,,1,0
150,3,,3,0
151,,0,0,0
152,1,,0,1
153,,0,0,0
154,,0,0,0
155,1,,1,0
156,5,,5,0
157,2,,1,1
158,,0,0,0
159,0,,0,0
160,2,,2,0
161,,1,1,0
162,4,,4,0
163,2,,2,0
164,0,,0,0
165,4,,3,1
166,,2,2,0
167,2,,2,0
