,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,0,,0,0
2,4,,0,4
3,0,,0,0
4,0,,0,0
5,,0,0,0
6,,0,0,0
7,0,,0,0
8,0,,0,0
9,0,,0,0
10,2,,0,2
11,,0,0,0
12,,0,0,0
13,6,,0,6
14,1,,0,1
15,,0,0,0
16,4,,0,4
17,1,,0,1
18,,0,0,0
19,0,,0,0
20,,0,0,0
21,0,,0,0
22,0,,0,0
23,0,,0,0
24,0,,0,0
25,,1,0,1
26,,0,0,0
27,1,,0,1
28,1,,0,1
29,2,,0,2
30,2,,0,2
31,0,,0,0
32,0,,0,0
33,0,,0,0
34,0,,0,0
35,0,,0,0
36,,0,0,0
37,0,,0,0
38,2,,0,2
39,0,,0,0
40,2,,0,2
41,1,,0,1
42,1,,0,1
43,0,,0,0
44,0,,0,0
45,,1,0,1
46,0,,0,0
47,,0,0,0
48,1,,0,1
49,0,,0,0
50,0,,0,0
51,0,,0,0
52,0,,0,0
53,2,,0,2
54,1,,0,1
55,0,,0,0
56,0,,0,0
57,0,,0,0
58,0,,0,0
59,0,,0,0
60,2,,0,2
61,7,,0,7
62,0,,0,0
63,0,,0,0
64,2,,0,2
65,1,,0,1
66,2,,0,2
67,,0,0,0
68,2,,0,2
69,0,,0,0
70,0,,0,0
71,0,,0,0
72,0,,0,0
73,0,,0,0
74,0,,0,0
75,1,,0,1
76,0,,0,0
77,0,,0,0
78,0,,0,0
79,0,,0,0
80,0,,0,0
81,,0,0,0
82,0,,0,0
83,0,,0,0
84,0,,0,0
85,0,,0,0
86,0,,0,0
87,0,,0,0
88,0,,0,0
89,0,,0,0
90,0,,0,0
91,1,,0,1
92,,0,0,0
93,1,,0,1
94,2,,0,2
95,0,,0,0
96,0,,0,0
97,0,,0,0
98,0,,0,0
99,0,,0,0
100,1,,0,1
101,6,,0,6
102,1,,0,1
103,0,,0,0
104,2,,0,2
105,0,,0,0
106,0,,0,0
107,0,,0,0
108,1,,0,1
109,0,,0,0
110,,1,0,1
111,2,,0,2
112,,0,0,0
113,0,,0,0
114,0,,0,0
115,0,,0,0
116,0,,0,0
117,0,,0,0
118,0,,0,0
119,0,,0,0
120,1,,0,1
121,2,,0,2
122,0,,0,0
123,1,,0,1
124,0,,0,0
125,0,,0,0
126,2,,0,2
127,1,,0,1
128,0,,0,0
129,1,,0,1
130,0,,0,0
131,0,,0,0
132,0,,0,0
133,0,,0,0
134,0,,0,0
135,0,,0,0
136,0,,0,0
137,0,,0,0
138,0,,0,0
139,0,,0,0
140,0,,0,0
141,0,,0,0
142,0,,0,0
143,0,,0,0
144,0,,0,0
145,0,,0,0
146,2,,0,2
147,0,,0,0
148,0,,0,0
149,0,,0,0
150,,0,0,0
151,0,,0,0
152,0,,0,0
153,0,,0,0
154,0,,0,0
155,0,,0,0
156,0,,0,0
157,0,,0,0
158,,1,0,1
159,0,,0,0
160,0,,0,0
161,0,,0,0
162,,1,0,1
163,2,,0,2
164,0,,0,0
165,0,,0,0
166,0,,0,0
167,0,,0,0
168,0,,0,0
169,0,,0,0
170,0,,0,0
171,0,,0,0
172,0,,0,0
173,0,,0,0
174,,0,0,0
175,0,,0,0
176,0,,0,0
177,0,,0,0
178,0,,0,0
179,0,,0,0
180,0,,0,0
181,0,,0,0
182,0,,0,0
183,0,,0,0
184,0,,0,0
185,0,,0,0
186,1,,0,1
187,0,,0,0
188,1,,0,1
189,0,,0,0
190,0,,0,0
191,0,,0,0
192,1,,0,1
193,0,,0,0
194,0,,0,0
195,0,,0,0
196,0,,0,0
197,0,,0,0
198,,1,0,1
199,0,,0,0
200,0,,0,0
201,0,,0,0
202,0,,0,0
203,0,,0,0
204,0,,0,0
205,0,,0,0
206,0,,0,0
207,0,,0,0
208,0,,0,0
209,1,,0,1
210,0,,0,0
211,0,,0,0
212,1,,0,1
213,1,,0,1
214,0,,0,0
215,0,,0,0
216,0,,0,0
217,0,,0,0
218,1,,0,1
219,1,,0,1
220,1,,0,1
221,0,,0,0
222,0,,0,0
223,0,,0,0
224,0,,0,0
225,0,,0,0
226,0,,0,0
227,1,,0,1
228,0,,0,0
229,0,,0,0
230,0,,0,0
231,0,,0,0
232,0,,0,0
233,0,,0,0
234,1,,0,1
235,0,,0,0
236,0,,0,0
237,1,,0,1
238,0,,0,0
239,0,,0,0
240,0,,0,0
241,0,,0,0
242,1,,0,1
243,0,,0,0
244,5,,0,5
245,0,,0,0
246,0,,0,0
247,0,,0,0
248,0,,0,0
249,0,,0,0
250,0,,0,0
251,0,,0,0
252,1,,0,1
253,0,,0,0
254,0,,0,0
255,0,,0,0
256,0,,0,0
257,0,,0,0
258,0,,0,0
259,0,,0,0
260,,0,0,0
261,0,,0,0
262,1,,0,1
263,0,,0,0
264,1,,0,1
265,0,,0,0
266,0,,0,0
267,0,,0,0
268,0,,0,0
269,4,,0,4
270,0,,0,0
271,0,,0,0
272,1,,0,1
273,2,,0,2
274,0,,0,0
275,,0,0,0
276,0,,0,0
277,,0,0,0
278,0,,0,0
279,0,,0,0
280,0,,0,0
281,2,,0,2
282,1,,0,1
283,0,,0,0
