,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,1,0,1
1,0,,0,0
2,1,,0,1
3,0,,0,0
4,0,,0,0
5,0,,0,0
6,0,,0,0
7,0,,0,0
8,,0,0,0
9,,0,0,0
10,0,,0,0
11,2,,0,2
12,1,,0,1
13,0,,0,0
14,2,,0,2
15,0,,0,0
16,0,,0,0
17,3,,0,3
18,2,,0,2
19,,0,0,0
20,3,,0,3
21,3,,0,3
22,2,,0,2
23,6,,0,6
24,0,,0,0
25,1,,0,1
26,3,,0,3
27,,2,0,2
28,,2,0,2
29,0,,0,0
30,0,,0,0
31,0,,0,0
32,0,,0,0
33,3,,0,3
34,3,,0,3
35,0,,0,0
36,2,,0,2
37,,0,0,0
38,0,,0,0
39,,2,0,2
40,0,,0,0
41,0,,0,0
42,1,,0,1
43,0,,0,0
44,0,,0,0
45,,0,0,0
46,0,,0,0
47,1,,0,1
48,0,,0,0
49,1,,0,1
50,0,,0,0
51,0,,0,0
52,0,,0,0
53,0,,0,0
54,0,,0,0
55,0,,0,0
56,0,,0,0
57,3,,0,3
58,0,,0,0
59,0,,0,0
60,0,,0,0
61,0,,0,0
62,0,,0,0
63,5,,0,5
64,0,,0,0
65,2,,0,2
66,3,,0,3
67,,0,0,0
68,4,,0,4
69,0,,0,0
70,2,,0,2
71,1,,0,1
72,0,,0,0
73,3,,0,3
74,1,,0,1
75,3,,0,3
76,0,,0,0
77,0,,0,0
78,,0,0,0
79,0,,0,0
80,0,,0,0
81,1,,0,1
82,0,,0,0
83,0,,0,0
84,0,,0,0
85,,1,0,1
86,0,,0,0
87,0,,0,0
88,1,,0,1
89,0,,0,0
90,0,,0,0
91,0,,0,0
92,0,,0,0
93,0,,0,0
94,0,,0,0
95,0,,0,0
96,0,,0,0
97,0,,0,0
98,,2,0,2
99,0,,0,0
100,1,,0,1
101,0,,0,0
102,1,,0,1
103,0,,0,0
104,0,,0,0
105,0,,0,0
106,,0,0,0
107,1,,0,1
108,0,,0,0
109,0,,0,0
110,0,,0,0
111,0,,0,0
112,0,,0,0
113,0,,0,0
114,0,,0,0
115,0,,0,0
116,0,,0,0
117,0,,0,0
118,0,,0,0
119,3,,0,3
120,4,,0,4
121,0,,0,0
122,0,,0,0
123,0,,0,0
124,0,,0,0
125,0,,0,0
126,0,,0,0
127,0,,0,0
128,2,,0,2
129,0,,0,0
130,0,,0,0
131,0,,0,0
132,2,,0,2
133,,1,0,1
134,,0,0,0
135,0,,0,0
136,0,,0,0
137,0,,0,0
138,0,,0,0
139,0,,0,0
140,0,,0,0
141,0,,0,0
142,0,,0,0
143,1,,0,1
144,0,,0,0
145,0,,0,0
146,0,,0,0
147,0,,0,0
148,0,,0,0
149,0,,0,0
150,0,,0,0
151,0,,0,0
152,1,,0,1
153,0,,0,0
154,0,,0,0
155,1,,0,1
156,0,,0,0
157,5,,0,5
158,0,,0,0
159,1,,0,1
160,0,,0,0
161,1,,0,1
162,0,,0,0
163,0,,0,0
164,,0,0,0
165,0,,0,0
166,0,,0,0
167,0,,0,0
168,0,,0,0
169,0,,0,0
170,1,,0,1
171,0,,0,0
172,0,,0,0
173,0,,0,0
174,0,,0,0
175,0,,0,0
176,1,,0,1
177,0,,0,0
178,0,,0,0
