,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,,0,0,0
2,0,,0,0
3,0,,0,0
4,1,,1,0
5,0,,0,0
6,0,,0,0
7,1,,1,0
8,1,,1,0
9,0,,0,0
10,1,,1,0
11,2,,1,1
12,0,,0,0
13,0,,0,0
14,0,,0,0
15,0,,0,0
16,2,,2,0
17,1,,1,0
18,,0,0,0
19,,0,0,0
20,0,,0,0
21,1,,0,1
22,,2,2,0
23,3,,3,0
24,0,,0,0
25,,0,0,0
26,,0,0,0
27,,0,0,0
28,,1,1,0
29,1,,1,0
30,0,,0,0
31,,2,2,0
32,0,,0,0
33,0,,0,0
34,1,,1,0
35,0,,0,0
36,1,,1,0
37,,0,0,0
38,,1,1,0
39,0,,0,0
40,0,,0,0
41,0,,0,0
42,2,,1,1
43,,0,0,0
44,,1,1,0
45,0,,0,0
46,0,,0,0
47,0,,0,0
48,1,,1,0
49,0,,0,0
50,2,,1,1
51,,0,0,0
52,,0,0,0
53,0,,0,0
54,0,,0,0
55,,0,0,0
56,0,,0,0
57,,0,0,0
58,0,,0,0
59,0,,0,0
60,0,,0,0
61,0,,0,0
62,,0,0,0
63,0,,0,0
64,1,,1,0
65,1,,1,0
66,,0,0,0
67,0,,0,0
68,0,,0,0
69,0,,0,0
70,,0,0,0
71,0,,0,0
72,,1,1,0
73,0,,0,0
74,0,,0,0
75,0,,0,0
76,1,,1,0
77,,0,0,0
78,,0,0,0
79,0,,0,0
80,,0,0,0
81,,0,0,0
82,0,,0,0
83,0,,0,0
84,0,,0,0
85,0,,0,0
86,0,,0,0
87,2,,1,1
88,2,,2,0
89,0,,0,0
90,0,,0,0
91,0,,0,0
92,,0,0,0
93,,0,0,0
94,,0,0,0
95,,0,0,0
96,,1,1,0
97,2,,2,0
98,0,,0,0
99,,0,0,0
100,0,,0,0
101,1,,1,0
102,2,,2,0
103,0,,0,0
104,2,,2,0
105,0,,0,0
106,1,,1,0
107,,0,0,0
108,3,,2,1
109,0,,0,0
110,1,,0,1
111,1,,1,0
112,,0,0,0
113,1,,1,0
114,0,,0,0
115,1,,1,0
116,0,,0,0
117,0,,0,0
118,2,,2,0
119,,0,0,0
120,4,,2,2
121,,1,1,0
122,,1,1,0
123,,0,0,0
124,,0,0,0
125,,0,0,0
126,0,,0,0
127,1,,1,0
128,0,,0,0
129,,0,0,0
130,1,,1,0
131,,0,0,0
132,0,,0,0
133,0,,0,0
134,0,,0,0
135,,0,0,0
136,,1,1,0
137,,0,0,0
138,1,,1,0
139,,0,0,0
140,0,,0,0
141,0,,0,0
142,1,,1,0
143,4,,3,1
144,0,,0,0
145,0,,0,0
146,,0,0,0
147,1,,1,0
148,,0,0,0
149,,1,1,0
150,1,,1,0
151,2,,2,0
152,0,,0,0
153,1,,1,0
154,,0,0,0
155,,0,0,0
156,1,,0,1
157,1,,1,0
158,,0,0,0
159,,0,0,0
160,0,,0,0
161,,1,1,0
162,0,,0,0
163,0,,0,0
164,2,,2,0
165,,2,2,0
166,,1,1,0
167,0,,0,0
168,0,,0,0
169,,0,0,0
170,0,,0,0
171,0,,0,0
172,1,,1,0
173,,0,0,0
174,0,,0,0
175,,0,0,0
176,0,,0,0
177,2,,2,0
178,0,,0,0
179,1,,1,0
180,1,,1,0
181,,0,0,0
182,,0,0,0
183,0,,0,0
184,0,,0,0
185,1,,0,1
186,,0,0,0
187,,0,0,0
188,,0,0,0
189,1,,1,0
190,0,,0,0
191,0,,0,0
192,1,,1,0
193,2,,1,1
194,0,,0,0
195,1,,1,0
196,2,,1,1
197,0,,0,0
198,,1,1,0
199,1,,1,0
200,,0,0,0
201,,0,0,0
202,1,,1,0
203,,0,0,0
204,0,,0,0
205,1,,0,1
206,2,,2,0
207,0,,0,0
208,,0,0,0
209,,0,0,0
210,0,,0,0
211,0,,0,0
212,0,,0,0
213,1,,1,0
214,0,,0,0
215,2,,1,1
216,,0,0,0
217,,0,0,0
218,2,,2,0
219,2,,2,0
220,0,,0,0
221,1,,1,0
222,,0,0,0
223,,0,0,0
224,0,,0,0
225,0,,0,0
226,0,,0,0
227,1,,1,0
228,0,,0,0
229,2,,2,0
230,,1,1,0
231,2,,2,0
232,0,,0,0
233,0,,0,0
