,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,,0,0,0
2,3,,0,3
3,3,,0,3
4,,0,0,0
5,4,,0,4
6,,0,0,0
7,0,,0,0
8,2,,0,2
9,0,,0,0
10,0,,0,0
11,0,,0,0
12,0,,0,0
13,0,,0,0
14,0,,0,0
15,0,,0,0
16,0,,0,0
17,0,,0,0
18,0,,0,0
19,0,,0,0
20,,0,0,0
21,1,,0,1
22,,0,0,0
23,,0,0,0
24,3,,0,3
25,4,,0,4
26,,0,0,0
27,3,,0,3
28,0,,0,0
29,0,,0,0
30,0,,0,0
31,0,,0,0
32,0,,0,0
33,0,,0,0
34,0,,0,0
35,0,,0,0
36,2,,0,2
37,2,,0,2
38,1,,0,1
39,0,,0,0
40,0,,0,0
41,4,,0,4
42,1,,0,1
43,2,,0,2
44,0,,0,0
45,,0,0,0
46,4,,0,4
47,,0,0,0
48,0,,0,0
49,,0,0,0
50,0,,0,0
51,0,,0,0
52,1,,0,1
53,2,,0,2
54,1,,0,1
55,0,,0,0
56,0,,0,0
57,0,,0,0
58,0,,0,0
59,0,,0,0
60,0,,0,0
61,0,,0,0
62,0,,0,0
63,2,,0,2
64,0,,0,0
65,0,,0,0
66,0,,0,0
67,6,,0,6
68,5,,0,5
69,0,,0,0
70,1,,0,1
71,1,,0,1
72,2,,0,2
73,3,,0,3
74,0,,0,0
75,0,,0,0
76,,0,0,0
77,,0,0,0
78,3,,0,3
79,0,,0,0
80,0,,0,0
81,1,,0,1
82,0,,0,0
83,0,,0,0
84,0,,0,0
85,,1,0,1
86,0,,0,0
87,,0,0,0
88,,1,0,1
89,0,,0,0
90,0,,0,0
91,,1,0,1
92,0,,0,0
93,5,,0,5
94,0,,0,0
95,0,,0,0
96,0,,0,0
97,1,,0,1
98,,0,0,0
99,0,,0,0
100,,0,0,0
101,,0,0,0
102,4,,0,4
103,0,,0,0
104,0,,0,0
105,0,,0,0
106,0,,0,0
107,,2,0,2
108,0,,0,0
109,5,,0,5
110,0,,0,0
111,1,,0,1
112,0,,0,0
113,0,,0,0
114,0,,0,0
115,0,,0,0
116,0,,0,0
117,0,,0,0
118,,1,0,1
119,0,,0,0
120,0,,0,0
121,0,,0,0
122,,0,0,0
123,1,,0,1
124,1,,0,1
125,,0,0,0
126,2,,0,2
127,2,,0,2
128,,1,0,1
129,0,,0,0
130,0,,0,0
131,0,,0,0
132,0,,0,0
133,0,,0,0
134,0,,0,0
135,1,,0,1
136,0,,0,0
137,0,,0,0
138,0,,0,0
139,0,,0,0
140,1,,0,1
141,0,,0,0
142,0,,0,0
143,0,,0,0
144,1,,0,1
145,1,,0,1
146,0,,0,0
147,1,,0,1
148,0,,0,0
149,0,,0,0
150,0,,0,0
151,0,,0,0
152,,1,0,1
153,0,,0,0
154,0,,0,0
155,0,,0,0
156,0,,0,0
157,0,,0,0
158,0,,0,0
159,0,,0,0
160,2,,0,2
161,,0,0,0
162,0,,0,0
163,0,,0,0
164,0,,0,0
165,0,,0,0
166,,0,0,0
167,0,,0,0
168,0,,0,0
169,0,,0,0
170,0,,0,0
171,0,,0,0
172,0,,0,0
173,0,,0,0
174,2,,0,2
175,2,,0,2
176,0,,0,0
177,1,,0,1
178,0,,0,0
179,0,,0,0
180,0,,0,0
181,0,,0,0
182,0,,0,0
183,0,,0,0
184,1,,0,1
185,1,,0,1
186,0,,0,0
187,0,,0,0
188,5,,0,5
189,1,,0,1
190,1,,0,1
191,1,,0,1
192,3,,0,3
193,0,,0,0
194,0,,0,0
195,,1,0,1
196,3,,0,3
197,0,,0,0
198,0,,0,0
199,3,,0,3
200,0,,0,0
201,0,,0,0
202,0,,0,0
203,0,,0,0
