,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,2,,2,0
1,1,,1,0
2,0,,0,0
3,1,,1,0
4,0,,0,0
5,,1,1,0
6,,0,0,0
7,0,,0,0
8,0,,0,0
9,0,,0,0
10,,1,1,0
11,,0,0,0
12,1,,0,1
13,,0,0,0
14,,0,0,0
15,1,,0,1
16,,0,0,0
17,1,,1,0
18,1,,1,0
19,3,,3,0
20,0,,0,0
21,,0,0,0
22,0,,0,0
23,1,,1,0
24,3,,2,1
25,,0,0,0
26,0,,0,0
27,2,,2,0
28,0,,0,0
29,,0,0,0
30,1,,1,0
31,0,,0,0
32,0,,0,0
33,,0,0,0
34,1,,1,0
35,2,,2,0
36,2,,2,0
37,,1,1,0
38,1,,1,0
39,3,,2,1
40,1,,1,0
41,1,,1,0
42,2,,1,1
43,0,,0,0
44,0,,0,0
45,,0,0,0
46,0,,0,0
47,3,,3,0
48,1,,0,1
49,,0,0,0
50,0,,0,0
51,1,,0,1
52,0,,0,0
53,1,,1,0
54,2,,2,0
55,,1,0,1
56,3,,3,0
57,2,,1,1
58,,0,0,0
59,0,,0,0
60,,0,0,0
61,,0,0,0
62,,1,0,1
63,5,,3,2
64,1,,1,0
65,1,,0,1
66,0,,0,0
67,1,,1,0
68,4,,2,2
69,,0,0,0
70,1,,0,1
71,1,,1,0
72,,1,1,0
73,2,,2,0
74,0,,0,0
75,2,,2,0
76,1,,1,0
77,0,,0,0
78,,1,1,0
79,0,,0,0
80,0,,0,0
81,1,,1,0
82,2,,1,1
83,0,,0,0
84,,0,0,0
85,3,,3,0
86,,2,1,1
87,0,,0,0
88,,0,0,0
89,2,,2,0
90,0,,0,0
91,1,,1,0
92,1,,1,0
93,0,,0,0
94,0,,0,0
95,0,,0,0
96,,0,0,0
97,1,,0,1
98,,0,0,0
99,,0,0,0
100,1,,1,0
101,,0,0,0
102,,0,0,0
103,0,,0,0
104,1,,1,0
105,1,,1,0
106,1,,1,0
107,1,,1,0
108,,1,1,0
109,0,,0,0
110,0,,0,0
111,0,,0,0
112,0,,0,0
113,2,,2,0
114,1,,0,1
115,0,,0,0
116,0,,0,0
117,,0,0,0
118,0,,0,0
119,1,,1,0
120,,0,0,0
121,0,,0,0
122,0,,0,0
123,,0,0,0
124,1,,0,1
125,1,,1,0
126,4,,4,0
127,0,,0,0
128,,1,1,0
129,0,,0,0
130,,0,0,0
131,1,,1,0
132,0,,0,0
133,2,,1,1
134,0,,0,0
135,1,,1,0
136,1,,1,0
137,1,,1,0
138,0,,0,0
139,,0,0,0
140,1,,1,0
141,0,,0,0
142,,1,1,0
143,,0,0,0
144,,0,0,0
145,2,,1,1
146,,1,0,1
147,0,,0,0
148,,0,0,0
149,1,,1,0
150,,0,0,0
151,0,,0,0
152,,1,1,0
153,3,,2,1
154,2,,2,0
155,,0,0,0
156,3,,2,1
157,,1,1,0
158,,0,0,0
159,1,,1,0
160,0,,0,0
161,,0,0,0
162,0,,0,0
163,,1,0,1
164,,1,1,0
165,0,,0,0
166,,0,0,0
167,1,,1,0
168,,0,0,0
169,1,,0,1
170,0,,0,0
171,1,,1,0
172,,0,0,0
173,0,,0,0
174,,0,0,0
175,,3,3,0
176,1,,1,0
177,,0,0,0
178,0,,0,0
179,0,,0,0
180,0,,0,0
181,1,,0,1
182,1,,1,0
183,,0,0,0
184,,0,0,0
185,0,,0,0
186,0,,0,0
187,4,,3,1
188,0,,0,0
189,1,,1,0
190,0,,0,0
191,,0,0,0
192,2,,1,1
193,,0,0,0
194,3,,3,0
195,,0,0,0
196,2,,2,0
197,0,,0,0
198,4,,4,0
199,1,,1,0
200,1,,1,0
201,1,,1,0
202,0,,0,0
203,2,,2,0
204,,0,0,0
205,1,,1,0
206,0,,0,0
207,1,,1,0
208,0,,0,0
209,0,,0,0
210,0,,0,0
211,0,,0,0
212,0,,0,0
213,1,,0,1
214,0,,0,0
215,2,,2,0
216,0,,0,0
217,0,,0,0
218,1,,1,0
219,0,,0,0
220,0,,0,0
221,1,,1,0
222,,2,1,1
223,,0,0,0
224,,0,0,0
