,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,0,,0,0
2,2,,0,2
3,0,,0,0
4,,0,0,0
5,0,,0,0
6,0,,0,0
7,2,,0,2
8,1,,0,1
9,0,,0,0
10,0,,0,0
11,0,,0,0
12,3,,0,3
13,0,,0,0
14,0,,0,0
15,1,,0,1
16,1,,0,1
17,,0,0,0
18,1,,0,1
19,0,,0,0
20,4,,0,4
21,0,,0,0
22,1,,0,1
23,0,,0,0
24,0,,0,0
25,0,,0,0
26,4,,0,4
27,0,,0,0
28,,0,0,0
29,1,,0,1
30,,0,0,0
31,0,,0,0
32,3,,0,3
33,0,,0,0
34,1,,0,1
35,,0,0,0
36,0,,0,0
37,1,,0,1
38,1,,0,1
39,0,,0,0
40,0,,0,0
41,1,,0,1
42,0,,0,0
43,0,,0,0
44,0,,0,0
45,0,,0,0
46,1,,0,1
47,,0,0,0
48,0,,0,0
49,,0,0,0
50,2,,0,2
51,0,,0,0
52,,0,0,0
53,1,,0,1
54,0,,0,0
55,1,,0,1
56,5,,0,5
57,,0,0,0
58,1,,0,1
59,,0,0,0
60,0,,0,0
61,0,,0,0
62,0,,0,0
63,1,,0,1
64,0,,0,0
65,,0,0,0
66,0,,0,0
67,0,,0,0
68,0,,0,0
69,0,,0,0
70,0,,0,0
71,,0,0,0
72,,1,0,1
73,,1,0,1
74,1,,0,1
75,0,,0,0
76,,0,0,0
77,1,,0,1
78,0,,0,0
79,0,,0,0
80,1,,0,1
81,,1,0,1
82,0,,0,0
83,0,,0,0
84,0,,0,0
85,0,,0,0
86,0,,0,0
87,3,,0,3
88,0,,0,0
89,,0,0,0
90,0,,0,0
91,2,,0,2
92,4,,0,4
93,0,,0,0
94,1,,0,1
95,0,,0,0
96,0,,0,0
97,0,,0,0
98,0,,0,0
99,,0,0,0
100,0,,0,0
101,0,,0,0
102,0,,0,0
103,0,,0,0
104,0,,0,0
105,,2,0,2
106,0,,0,0
107,0,,0,0
108,0,,0,0
109,,1,0,1
110,,1,0,1
111,1,,0,1
112,0,,0,0
113,0,,0,0
114,0,,0,0
115,0,,0,0
116,0,,0,0
117,0,,0,0
118,0,,0,0
119,2,,0,2
120,0,,0,0
121,1,,0,1
122,2,,0,2
123,1,,0,1
124,0,,0,0
125,0,,0,0
126,0,,0,0
127,0,,0,0
128,4,,0,4
129,1,,0,1
130,0,,0,0
131,2,,0,2
132,0,,0,0
133,,3,0,3
134,0,,0,0
135,0,,0,0
136,0,,0,0
137,0,,0,0
138,0,,0,0
139,0,,0,0
140,0,,0,0
141,0,,0,0
142,0,,0,0
143,,0,0,0
144,0,,0,0
145,0,,0,0
146,1,,0,1
147,3,,0,3
148,1,,0,1
149,0,,0,0
150,3,,0,3
151,0,,0,0
152,0,,0,0
153,2,,0,2
154,0,,0,0
155,0,,0,0
156,0,,0,0
157,0,,0,0
158,0,,0,0
159,0,,0,0
160,5,,0,5
161,1,,0,1
162,0,,0,0
163,2,,0,2
164,,2,0,2
165,0,,0,0
166,0,,0,0
167,1,,0,1
168,0,,0,0
169,0,,0,0
170,0,,0,0
171,0,,0,0
172,0,,0,0
173,0,,0,0
174,0,,0,0
175,0,,0,0
176,0,,0,0
177,2,,0,2
178,0,,0,0
179,,0,0,0
180,1,,0,1
181,0,,0,0
182,3,,0,3
183,,0,0,0
184,0,,0,0
185,0,,0,0
186,0,,0,0
187,0,,0,0
188,3,,0,3
189,,1,0,1
190,,0,0,0
191,0,,0,0
192,0,,0,0
193,1,,0,1
194,1,,0,1
195,,0,0,0
196,0,,0,0
197,0,,0,0
198,0,,0,0
199,,1,0,1
200,0,,0,0
201,0,,0,0
202,0,,0,0
203,0,,0,0
