,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,0,0,0
1,,0,0,0
2,3,,2,1
3,1,,0,1
4,0,,0,0
5,0,,0,0
6,0,,0,0
7,1,,0,1
8,1,,1,0
9,0,,0,0
10,,0,0,0
11,0,,0,0
12,0,,0,0
13,,0,0,0
14,0,,0,0
15,,1,0,1
16,0,,0,0
17,0,,0,0
18,0,,0,0
19,0,,0,0
20,2,,2,0
21,3,,3,0
22,1,,1,0
23,,0,0,0
24,,1,1,0
25,,0,0,0
26,0,,0,0
27,,2,1,1
28,0,,0,0
29,,2,1,1
30,1,,1,0
31,,0,0,0
32,1,,1,0
33,,1,1,0
34,0,,0,0
35,1,,1,0
36,0,,0,0
37,0,,0,0
38,0,,0,0
39,0,,0,0
40,0,,0,0
41,,0,0,0
42,0,,0,0
43,,0,0,0
44,0,,0,0
45,1,,1,0
46,0,,0,0
47,3,,3,0
48,,1,0,1
49,0,,0,0
50,,0,0,0
51,0,,0,0
52,0,,0,0
53,,0,0,0
54,1,,1,0
55,,0,0,0
56,0,,0,0
57,0,,0,0
58,4,,4,0
59,,0,0,0
60,,1,1,0
61,,0,0,0
62,,0,0,0
63,,0,0,0
64,0,,0,0
65,,0,0,0
66,3,,3,0
67,3,,2,1
68,1,,1,0
69,1,,1,0
70,,2,1,1
71,2,,2,0
72,,1,0,1
73,1,,0,1
74,1,,1,0
75,0,,0,0
76,,1,1,0
77,,0,0,0
78,,2,2,0
79,,0,0,0
80,1,,1,0
81,0,,0,0
82,2,,1,1
83,,0,0,0
84,,0,0,0
85,1,,1,0
86,0,,0,0
87,,0,0,0
88,0,,0,0
89,,0,0,0
90,2,,2,0
91,0,,0,0
92,,0,0,0
93,0,,0,0
94,,0,0,0
95,1,,1,0
96,,0,0,0
97,0,,0,0
98,0,,0,0
99,1,,1,0
100,0,,0,0
101,0,,0,0
102,0,,0,0
103,0,,0,0
104,0,,0,0
105,,0,0,0
106,,1,1,0
107,,1,1,0
108,0,,0,0
109,1,,0,1
110,0,,0,0
111,2,,1,1
112,0,,0,0
113,0,,0,0
114,1,,0,1
115,,3,3,0
116,0,,0,0
117,1,,0,1
118,0,,0,0
119,0,,0,0
120,2,,2,0
121,0,,0,0
122,1,,1,0
123,,0,0,0
124,5,,5,0
125,5,,4,1
126,1,,1,0
127,0,,0,0
128,0,,0,0
129,2,,2,0
130,1,,0,1
131,1,,1,0
132,1,,0,1
133,,0,0,0
134,1,,1,0
135,0,,0,0
136,1,,1,0
137,,0,0,0
138,0,,0,0
139,0,,0,0
140,1,,1,0
141,1,,1,0
142,0,,0,0
143,1,,1,0
144,0,,0,0
145,1,,1,0
146,0,,0,0
147,4,,3,1
148,0,,0,0
149,,0,0,0
150,1,,1,0
151,2,,2,0
152,0,,0,0
153,,1,1,0
154,0,,0,0
155,,0,0,0
156,,0,0,0
157,,0,0,0
158,,0,0,0
159,0,,0,0
160,3,,2,1
161,1,,1,0
162,,1,1,0
163,0,,0,0
164,1,,1,0
165,,0,0,0
166,0,,0,0
167,,0,0,0
168,4,,4,0
169,4,,4,0
170,2,,2,0
171,0,,0,0
172,2,,1,1
173,4,,4,0
174,,0,0,0
175,0,,0,0
176,2,,2,0
177,0,,0,0
178,2,,1,1
179,0,,0,0
180,,0,0,0
181,0,,0,0
182,0,,0,0
183,0,,0,0
184,,0,0,0
185,0,,0,0
186,,0,0,0
187,0,,0,0
188,,0,0,0
189,2,,2,0
190,0,,0,0
191,2,,1,1
192,1,,0,1
193,,0,0,0
194,,2,2,0
195,0,,0,0
196,,0,0,0
197,0,,0,0
198,1,,1,0
199,1,,1,0
200,,0,0,0
201,,1,1,0
202,2,,2,0
203,,0,0,0
